text,metadata,level
"Điều 1. Phạm vi điều chỉnh và đối tượng áp dụng
1. Văn bản này quy định về nguyên tắc, tiêu chuẩn xét duyệt và cấp học bổng cho sinh viên đại học hình thức đào tạo chính quy tại Đại học Bách khoa Hà Nội (sau đây viết tắt là ĐHBK Hà Nội), căn cứ các quy định liên quan tại Nghị định số 84/2020/NĐ-CP ngày 17/7/2020 của Chính phủ và Quy chế Quản lý tài chính của Đại học Bách khoa Hà Nội được ban hành theo Nghị quyết số 20/NQ-ĐHBK ngày 16/3/2023 của Hội đồng Đại học, Đại học Bách khoa Hà Nội.
2. Quy định này áp dụng đối với sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của ĐHBK Hà Nội.
Điều 2. Các quy định chung","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""14""}",0
"2. Quy định này áp dụng đối với sinh viên đại học hình thức đào tạo chính quy văn bằng thứ nhất của ĐHBK Hà Nội.
Điều 2. Các quy định chung
1. Học bổng khuyến khích học tập (KKHT) cấp cho các sinh viên được lựa chọn bởi Hội đồng xét cấp học bổng ĐHBK Hà Nội theo từng học kỳ chính của năm học, căn cứ vào thành tích học tập và rèn luyện của sinh viên trong học kỳ chính liền trước đó.
2. Học bổng KKHT nhằm khuyến khích sinh viên nâng cao thành tích học tập và rèn luyện tại ĐHBK Hà Nội.
3. Quỹ học bổng KKHT hình thành từ nguồn học phí và bằng 8% (tám phần trăm) học phí của học kỳ lấy điểm xét cấp học bổng.
4. Học bổng KKHT có 3 mức:","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""15""}",0
"3. Quỹ học bổng KKHT hình thành từ nguồn học phí và bằng 8% (tám phần trăm) học phí của học kỳ lấy điểm xét cấp học bổng.
4. Học bổng KKHT có 3 mức:
a) Học bổng loại khá (loại C): Bằng tổng học phí của tất cả các học phần tính điểm trung bình học kỳ (GPA).
b) Học bổng loại giỏi (loại B): Bằng 1,2 lần mức học bổng loại khá.
c) Học bổng loại xuất sắc (loại A): Bằng 1,5 lần mức học bổng loại khá.
Điều 3. Tiêu chuẩn xét cấp học bổng
1. Học bổng loại C: GPA ≥ 2,5 và điểm rèn luyện học kỳ ≥ 65 điểm.","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""16""}",0
"c) Học bổng loại xuất sắc (loại A): Bằng 1,5 lần mức học bổng loại khá.
Điều 3. Tiêu chuẩn xét cấp học bổng
1. Học bổng loại C: GPA ≥ 2,5 và điểm rèn luyện học kỳ ≥ 65 điểm.
2. Học bổng loại B: GPA ≥ 3,2 và điểm rèn luyện học kỳ ≥ 80 điểm.
3. Học bổng loại A: GPA ≥ 3,6 và điểm rèn luyện học kỳ ≥ 90 điểm.
Điều 4. Nguyên tắc xét cấp học bổng
1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau.","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""17""}",0
"3. Học bổng loại A: GPA ≥ 3,6 và điểm rèn luyện học kỳ ≥ 90 điểm.
Điều 4. Nguyên tắc xét cấp học bổng
1. Sử dụng kết quả học tập và rèn luyện của học kỳ liền trước để xét cấp học bổng cho học kỳ sau.
2. Học bổng được xét theo khóa, ngành đào tạo và theo thứ tự ưu tiên lần lượt từ loại A đến loại C, từ điểm GPA cao cho đến điểm GPA thấp cho đến khi hết quỹ học bổng. Trường hợp GPA bằng nhau thì sẽ ưu tiên sinh viên có điểm rèn luyện cao hơn.
3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:
a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng;","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""18""}",0
"3. Không xét cấp học bổng đối với sinh viên thuộc một trong các trường hợp sau:
a) Chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng;
b) Đăng ký học ít hơn 15 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ lấy điểm xét, cấp học bổng, ngoại trừ học kỳ 1 năm học thứ nhất;
c) Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần không tính điểm GPA) tại học kỳ cấp học bổng;
d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;
đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""19""}",0
"d) Học quá thời gian theo kế hoạch học tập chuẩn của chương trình đào tạo;
đ) Học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất;
Điều 5. Thời gian công bố kết quả xét duyệt và cấp học bổng
1. Danh sách sinh viên được cấp học bổng và mức điểm chuẩn để đạt học bổng loại A, B, C theo khóa, ngành đào tạo tương ứng sẽ được công bố trên cổng thông tin sinh viên: ctt.hust.edu.vn, chậm nhất vào tuần học thứ 10 của học kỳ cấp học bổng.
2. Học bổng được cấp theo hình thức chuyển khoản.
Điều 6. Hội đồng xét, cấp học bổng","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""20""}",0
"2. Học bổng được cấp theo hình thức chuyển khoản.
Điều 6. Hội đồng xét, cấp học bổng
1. Hội đồng xét, cấp học bổng được thành lập theo quyết định của Giám đốc ĐHBK Hà Nội, Hội đồng có nhiệm vụ giúp Giám đốc thực hiện xét, cấp học bổng theo Quy định này.
2. Thành viên của Hội đồng xét, cấp học bổng bao gồm:
a) Chủ tịch Hội đồng: Là một thành viên của Ban Giám đốc ĐHBK Hà Nội.
b) Ủy viên thường trực: Là Trưởng Phòng/ Ban chức năng Công tác sinh viên.","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""21""}",0
"a) Chủ tịch Hội đồng: Là một thành viên của Ban Giám đốc ĐHBK Hà Nội.
b) Ủy viên thường trực: Là Trưởng Phòng/ Ban chức năng Công tác sinh viên.
c) Các ủy viên khác của Hội đồng gồm đại diện của các đơn vị: Phòng/ Ban chức năng Công tác sinh viên, Đào tạo, Tài chính-Kế toán, Đoàn Thanh niên Cộng sản Hồ Chí Minh và Hội Sinh viên ĐHBK Hà Nội.
Điều 7. Điều khoản thi hành
1. Quy định này có hiệu lực thi hành từ đợt xét, cấp học bổng học kỳ 1 năm học 2023-2024. Các quy định trước đây trái với Quy định này đều hết hiệu lực thi hành.","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""22""}",0
"Điều 7. Điều khoản thi hành
1. Quy định này có hiệu lực thi hành từ đợt xét, cấp học bổng học kỳ 1 năm học 2023-2024. Các quy định trước đây trái với Quy định này đều hết hiệu lực thi hành.
2. Trong quá trình triển khai thực hiện Quy định này, nếu có vướng mắc, Trưởng các đơn vị và cá nhân có liên quan kịp thời báo cáo Giám đốc Đại học thông qua Phòng/ Ban chức năng Công tác sinh viên để đề xuất sửa đổi, bổ sung cho phù hợp với tình hình thực tiễn của ĐHBK Hà Nội và các quy định của pháp luật.","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""23""}",0
"Quyết định số …/QĐ-ĐHBK Hà Nội ban hành Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội.  Quy định này dựa trên Luật Giáo dục đại học (ngày 18/6/2012 và các sửa đổi, bổ sung), Nghị định số 84/2020/NĐ-CP (ngày 17/7/2020) của Chính phủ và Quy chế Quản lý tài chính của Đại học Bách khoa Hà Nội (Nghị quyết số 20/NQ-ĐHBK ngày 16/3/2023).  Quy định áp dụng cho sinh viên đại học chính quy, văn bằng thứ nhất tại trường, nêu rõ nguyên tắc, tiêu chuẩn xét duyệt và cấp học bổng.","{""id"": [""0"", ""1"", ""2"", ""13"", ""14""], ""source"": [""20230710 1. QĐ Học bổng KKHT 2023.txt""]}",1
"Văn bản đề cập đến các quy định về giáo dục đại học dựa trên Luật Giáo dục đại học ngày 18/6/2012 và Luật sửa đổi, bổ sung ngày 19/11/2018, cùng các Nghị định số 99/2019/NĐ-CP (quy định chi tiết và hướng dẫn thi hành Luật sửa đổi, bổ sung) và Nghị định số 84/2020/NĐ-CP (quy định chi tiết một số điều của Luật Giáo dục).  Tóm lại, văn bản này là cơ sở pháp lý cho các quy định và hướng dẫn dành cho sinh viên Đại học Bách Khoa Hà Nội, dựa trên các luật và nghị định liên quan đến giáo dục đại học.","{""id"": [""3"", ""4"", ""5""], ""source"": [""20230710 1. QĐ Học bổng KKHT 2023.txt""]}",1
"Văn bản này là các quy định của Đại học Bách khoa Hà Nội về một số điều của Luật Giáo dục, dựa trên nhiều nghị quyết của Hội đồng Đại học (bao gồm Nghị quyết số 17/NQ-ĐHBK và 20/NQ-ĐHBK ngày 16/3/2023) và quyết định của Giám đốc Đại học (Quyết định số 1736/QĐ-ĐHBK ngày 16/3/2023).  Nội dung chính liên quan đến quy chế tổ chức hoạt động, quản lý tài chính và chi tiêu nội bộ của trường.  Văn bản được đề xuất bởi Trưởng phòng Đào tạo.","{""id"": [""6"", ""7"", ""8"", ""9""], ""source"": [""20230710 1. QĐ Học bổng KKHT 2023.txt""]}",1
"Ngày 16/3/2023, Đại học Bách khoa Hà Nội ban hành Quyết định về quy định xét cấp học bổng khuyến khích học tập.  Quyết định này thành lập Hội đồng xét cấp học bổng do một thành viên Ban Giám đốc làm Chủ tịch, Trưởng phòng Công tác sinh viên làm Ủy viên thường trực và các đại diện từ các phòng ban liên quan (Công tác sinh viên, Đào tạo, Tài chính-Kế toán, Đoàn Thanh niên, Hội Sinh viên). Học bổng được cấp bằng chuyển khoản. Quy định này có hiệu lực từ học kỳ 1 năm học 2023-2024, thay thế các quy định cũ.  Các vướng mắc trong quá trình thực hiện sẽ được báo cáo Giám đốc Đại học thông qua Phòng Công tác sinh viên để sửa đổi, bổ sung.","{""id"": [""10"", ""11"", ""12"", ""21"", ""22"", ""23""], ""source"": [""20230710 1. QĐ Học bổng KKHT 2023.txt""]}",1
"Quy định học bổng khuyến khích học tập (KKHT) dành cho sinh viên chính quy ĐHBK Hà Nội. Học bổng từ 8% học phí, có 3 mức (A, B, C) dựa trên GPA và điểm rèn luyện.  Mức A (GPA ≥ 3.6, điểm rèn luyện ≥ 90), B (GPA ≥ 3.2, điểm rèn luyện ≥ 80), C (GPA ≥ 2.5, điểm rèn luyện ≥ 65). Học bổng xét dựa trên kết quả học kỳ trước, ưu tiên theo thứ tự A, B, C, GPA cao trước.  Sinh viên bị kỷ luật, đăng ký ít tín chỉ (trừ học kỳ 1 năm nhất), học quá thời gian quy định, hoặc học chương trình đào tạo do trường đối tác nước ngoài cấp văn bằng duy nhất sẽ không được xét. Kết quả được công bố trên ctt.hust.edu.vn trước tuần 10 của học kỳ và được chuyển khoản.","{""id"": [""15"", ""16"", ""17"", ""18"", ""19"", ""20""], ""source"": [""20230710 1. QĐ Học bổng KKHT 2023.txt""]}",1
"Đại học Bách khoa Hà Nội ban hành nhiều văn bản quy định về học bổng và quản lý.  Một văn bản quy định xét cấp học bổng khuyến khích học tập cho sinh viên chính quy năm nhất trở lên, dựa trên Luật Giáo dục đại học, các nghị định liên quan và quy chế tài chính của trường. Học bổng có 3 mức (A, B, C) dựa trên điểm GPA và điểm rèn luyện, được xét dựa trên kết quả học kỳ trước và được chuyển khoản. Hội đồng xét học bổng gồm đại diện các phòng ban liên quan.  Các văn bản khác đề cập đến cơ sở pháp lý cho các quy định của trường, dựa trên Luật Giáo dục đại học, các nghị định và nghị quyết của Hội đồng, Giám đốc Đại học,  và quy định về tổ chức hoạt động, quản lý tài chính nội bộ của trường.  Quy định học bổng có hiệu lực từ học kỳ 1 năm học 2023-2024 và được công bố trên ctt.hust.edu.vn.  Sinh viên vi phạm kỷ luật hoặc không đáp ứng điều kiện sẽ không được xét.","{""id"": [""0"", ""1"", ""2"", ""13"", ""14"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""21"", ""22"", ""23"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""], ""source"": [""20230710 1. QĐ Học bổng KKHT 2023.txt""]}",2
